Prompt,Output,Functional unit,Embodied GHG,Density,Link,Source,,
 Aluminum 1100-O ,Aluminium sheet - 1.6 mm,m²,116,,http://doi.org/10.26188/5da551dec2e47,EPIC,,
 Aluminum 3003-H12 ,Aluminium sheet - 1.6 mm,m²,116,,http://doi.org/10.26188/5da551dec2e47,EPIC,,
" Aluminum, Anodized Blue ",Aluminium sheet - 1.6 mm,m²,116,,http://doi.org/10.26188/5da551dec2e47,EPIC,,
" Aluminum, Anodized Red ",Aluminium sheet - 1.6 mm,m²,116,,http://doi.org/10.26188/5da551dec2e47,EPIC,,
 Ash ,,,,,,EPIC,,
" Asphalt, Bitumen ",Asphalt,kg,0.2,2649,http://doi.org/10.26188/5da551ed753b9,EPIC,,
" Asphalt, Pavement, Dark Grey ",Asphalt,kg,0.2,2649,http://doi.org/10.26188/5da551ed753b9,EPIC,,
 Bamboo ,RESILIENT FLOORING Bamboo,m²,40,,,EC3,,
 Birch - Glossy ,RESILIENT FLOORING Birch,m²,12,,,EC3,,
 Blue Stone ,,,,,,,,
" Brick, Adobe ",Clay brick,kg,0.32,2403,http://doi.org/10.26188/5da552ad307a9,EPIC,,
" Brick, Common, Brown ",Clay brick,kg,0.32,2403,http://doi.org/10.26188/5da552ad307a9,EPIC,,
" Brick, Common, Red ",Clay brick,kg,0.32,2403,http://doi.org/10.26188/5da552ad307a9,EPIC,,
" Brick, Dark Blend, Soldier ",Clay brick,kg,0.32,2403,http://doi.org/10.26188/5da552ad307a9,EPIC,,
" Brick, Engineering, Soldier Course ",Clay brick,kg,0.32,2403,http://doi.org/10.26188/5da552ad307a9,EPIC,,
" Brick, Light Blend, Running ",Clay brick,kg,0.32,2403,http://doi.org/10.26188/5da552ad307a9,EPIC,,
" Brick, Modular ",Clay brick,kg,0.32,2403,http://doi.org/10.26188/5da552ad307a9,EPIC,,
" Brick, Pavers ",Clay brick,kg,0.32,2403,http://doi.org/10.26188/5da552ad307a9,EPIC,,
" Brick, Soldier Course ",Clay brick,kg,0.32,2403,http://doi.org/10.26188/5da552ad307a9,EPIC,,
 Bronze ,Copper sheet - 0.9 mm,m²,121,,http://doi.org/10.26188/5da55308b9bbe,EPIC,,
 Canvas ,,,,,,,,
 Carpet ,Nylon carpet,m²,31.2,,http://doi.org/10.26188/5da5521a352db,EPIC,,
" Carpet, Berber, Grey Pattern ",Nylon carpet,m²,31.2,,http://doi.org/10.26188/5da5521a352db,EPIC,,
" Carpet, Berber, Light Grey ",Nylon carpet,m²,31.2,,http://doi.org/10.26188/5da5521a352db,EPIC,,
" Carpet, Berber, Tan Pattern ",Nylon carpet,m²,31.2,,http://doi.org/10.26188/5da5521a352db,EPIC,,
" Carpet, Cut Pile, Tan Pattern ",Nylon carpet,m²,31.2,,http://doi.org/10.26188/5da5521a352db,EPIC,,
" Carpet, Loop Pile, White ",Nylon carpet,m²,31.2,,http://doi.org/10.26188/5da5521a352db,EPIC,,
 Ceiling Tile 600 x 1200 ,Clay roof tile,kg,0.61,1860,http://doi.org/10.26188/5da552bc24123,EPIC,,
 Cellulose Fill ,Cellulose insulation,kg,0.79,50,http://doi.org/10.26188/5da5528023cab,EPIC,,
 CFRP ,,,,,,,,
" Cladding, Vertical Ribbed ",CMU:MW,m³,264,1400,https://buildingtransparency.org/ec3/material-search,EC3,,
" CMU, Perlite Filled ",CMU:MW,m³,264,1400,https://buildingtransparency.org/ec3/material-search,EC3,,
" CMU, Split Face ",CMU:MW,m³,264,1400,https://buildingtransparency.org/ec3/material-search,EC3,,
" Concrete Masonry, Floor Block ",CONCRETE UNIT MASONRY,m³,371,1400,https://buildingtransparency.org/ec3/material-search,EC3,,
" Concrete, Block pattern formwork ",CONCRETE UNIT MASONRY,m³,371,1400,https://buildingtransparency.org/ec3/material-search,EC3,,
" Concrete, Broom Finish ",CONCRETE UNIT MASONRY,m³,371,1400,https://buildingtransparency.org/ec3/material-search,EC3,,
" Concrete, C16/20 ",Concrete ReadyMIx 16 MPa,m³,334,,https://buildingtransparency.org/ec3/material-search,EC3,,
" Concrete, C25/30 ",Concrete ReadyMIx 25 MPa,m³,405,,https://buildingtransparency.org/ec3/material-search,EC3,,
" Concrete, C35/45 ",Concrete ReadyMIx 35 MPa,m³,473,,https://buildingtransparency.org/ec3/material-search,EC3,,
" Concrete, C45/55 ",Concrete ReadyMIx 45 MPa,m³,519,,https://buildingtransparency.org/ec3/material-search,EC3,,
" Concrete, C70/85 ",Concrete ReadyMIx 70 MPa,m³,713,,https://buildingtransparency.org/ec3/material-search,EC3,,
" Concrete, C90/105 ",Concrete ReadyMix 90 MPa,m³,710,,https://buildingtransparency.org/ec3/material-search,EC3,,
" Concrete, Cast in Situ, Lightweight ",Concrete ReadyMix 30 Mpa Lightweight,,470,,https://buildingtransparency.org/ec3/material-search,EC3,,
" Concrete, Cast-in-Place - C15 ",Concrete ReadyMIx 16 MPa,m³,334,,https://buildingtransparency.org/ec3/material-search,EC3,,
" Concrete, Cast-in-Place - C25 ",Concrete ReadyMIx 25 MPa,m³,405,,https://buildingtransparency.org/ec3/material-search,EC3,,
" Concrete, Cast-in-Place - C35 ",Concrete ReadyMIx 35 MPa,m³,473,,https://buildingtransparency.org/ec3/material-search,EC3,,
" Concrete, Cast-in-Place - C45 ",Concrete ReadyMIx 45 MPa,m³,519,,https://buildingtransparency.org/ec3/material-search,EC3,,
" Concrete, Cast-in-Place - C7_5 ",Concrete ReadyMIx 70 MPa,m³,713,,https://buildingtransparency.org/ec3/material-search,EC3,,
" Concrete, Exposed Aggregate ",Concrete ReadyMIx 25 MPa,m³,405,,https://buildingtransparency.org/ec3/material-search,EC3,,
" Concrete, Lightweight ",Concrete ReadyMix 30 Mpa Lightweight,m³,470,,https://buildingtransparency.org/ec3/material-search,EC3,,
" Concrete, Lightweight, 40 ",Concrete ReadyMix 40 Mpa Lightweight,m³,565,,,EC3,,
" Concrete, Lightweight, 50 ",Concrete ReadyMix 40 Mpa Lightweight,m³,374,,,EC3,,
" Concrete, Normal Weight, 4 ksi ",Concrete Readymix 4 ksi,,441,,,EC3,,
" Concrete, Plywood formwork ",Concrete ReadyMIx 25 MPa,m³,405,,https://buildingtransparency.org/ec3/material-search,EC3,,
" Concrete, Precast Panels ",CONCRETE UNIT MASONRY,m³,371,1400,https://buildingtransparency.org/ec3/material-search,EC3,,
" Concrete, Precast Smooth, Light Grey, Wall Height ",CONCRETE UNIT MASONRY,m³,371,1400,https://buildingtransparency.org/ec3/material-search,EC3,,
" Concrete, Walkway ",Concrete ReadyMIx 35 MPa,m³,473,,https://buildingtransparency.org/ec3/material-search,EC3,,
 Cork Tiles ,RESILIENT FLOORING: cork,m²,16,,https://buildingtransparency.org/ec3/material-search,EC3,,
" Door, Glazing ",Double glazing - flat glass,m²,101,,http://doi.org/10.26188/5da55375f3452,EPIC,,
 Earth ,,,,,,,,
 Epoxy Resin ,,,,,,,,
 Fabric ,,,,,,,,
 Fieldstone ,,,,,,,,
 GFRP ,,,,,,,,
 Glass Fiber Reinforced Gypsum ,,,,,,,,
" Glass, Bronze Glazing, Low E ",Double glazing - flat glass,m²,101,,http://doi.org/10.26188/5da55375f3452,EPIC,,
" Glass, Cast, Gray ",Double glazing - flat glass,m²,101,,http://doi.org/10.26188/5da55375f3452,EPIC,,
" Glass, Clear Glazing, Low E ",Double glazing - flat glass,m²,101,,http://doi.org/10.26188/5da55375f3452,EPIC,,
" Glass, Green ",Double glazing - flat glass,m²,101,,http://doi.org/10.26188/5da55375f3452,EPIC,,
 Glue-Laminated Timber ,Glued laminated timber (glulam),m³,180,,,EC3,,
 Glulam 24h ,Glued laminated timber (glulam),m³,180,,,EC3,,
 Glulam 28h ,Glued laminated timber (glulam),m³,180,,,EC3,,
 Glulam 32h ,Glued laminated timber (glulam),m³,180,,,EC3,,
 Glulam 36h ,Glued laminated timber (glulam),m³,180,,,EC3,,
" Granite, Cut, Polished ",Factory finished panel Granite,m²,40,,,,,
 Grass ,,,,,,,,
 Gypsum Wall Board , GYPSUM BOARD,m²,4027,,,EC3,,
" Iron, Cast ",,,,,,,,
 Jarrah ,Jarrah,m²,11,,,,,
" Laminate, Black ",Cross laminated timber,m³,180,,http://doi.org/10.26188/5da5556225c38,EPIC,,
" Laminate, Ivory, Matte ",Cross laminated timber,m³,180,,http://doi.org/10.26188/5da5556225c38,EPIC,,
" Laminate, Navy ",Cross laminated timber,m³,180,,http://doi.org/10.26188/5da5556225c38,EPIC,,
" Laminate, White ",Cross laminated timber,m³,180,,http://doi.org/10.26188/5da5556225c38,EPIC,,
 Laminated Veneer Lumber ,Cross laminated timber,m³,180,,http://doi.org/10.26188/5da5556225c38,EPIC,,
 Lead ,,,,,,,,
 Limestone ,Dimension stone,kg,1,2243,http://doi.org/10.26188/5da553562c7fa,EPIC,,
" Linen, White ",,,,,,,,
 Mahogany ,RESILIENT FLOORING Mahogany,m²,12,,,EC3,,
 Maple - Glossy ,RESILIENT FLOORING Maple,m²,11,,,EC3,,
 Marble ,Dimension stone,kg,1,2243,http://doi.org/10.26188/5da553562c7fa,EPIC,,
 MDF Medium Density Fiberboard ,FC weatherboard - 205 × 7.5 mm - per m² wall,m²,26,,http://doi.org/10.26188/5da55463adae0,EPIC,,
 Metal Deck ,Steel sheet corrugated - per square metre,,,,,EC3,,
 Metal Furring ,Hot rolled galvanised structural steel,kg,3.5,7850,http://doi.org/10.26188/5da5554017f41,EPIC,,
 Metal Roofing ,Steel sheet corrugated - pre-painted,m²,24.9,,http://doi.org/10.26188/5da5584b06f9b,,,
 Metal Trim ,Steel sheet corrugated - pre-painted,m²,24.9,,http://doi.org/10.26188/5da5584b06f9b,,,
" Metal, Powder Coated, White ",Steel sheet corrugated - pre-painted,m²,24.9,,http://doi.org/10.26188/5da5584b06f9b,,,
" Metal, Sheeting Rails ",Hot rolled galvanised structural steel,kg,3.5,7850,http://doi.org/10.26188/5da5554017f41,EPIC,,
" Mulch, Black ",,,,,,,,
" Mulch, Brown Mix ",,,,,,,,
 Nylon 6 ,Nylon 66 sheet - 3 mm,m²,75.8,,http://doi.org/10.26188/5da55609d0f6f,EPIC,,
" Oak, Red ",Oak,m²,17,,,EC3,,
 Oriented Strand Board ,,,,,,,,
 Palladium ,,,,,,,,
 Particleboard ,,,,,,,,
 Pea Stone - Grey ,,,,,,,,
 Phenolic Resin ,,,,,,,,
" Pine, Radiata ",,,,,,,,
" Pine, Southern ",,,,,,,,
 Plaster ,,,,,,,,
" Plastic, Formed ",,,,,,,,
" Plastic, Opaque Black ",,,,,,,,
" Plastic, Transparent ",,,,,,,,
" Plywood, Maple, Finish Grade, Unfinished ",,,,,,,,
" Plywood, Sheathing ",,,,,,,,
" Plywood, Side, 7 Ply ",,,,,,,,
" Polyethylene, High Density ",,,,,,,,
 Polyisocyanate ,,,,,,,,
 Polypropylene ,,,,,,,,
" Polystyrene, High Impact ",,,,,,,,
 Polyurethane Foam ,,,,,,,,
" Porcelain, Ivory ",,,,,,,,
" PVC, Flexible ",,,,,,,,
" Rebar, ASTM A615, Grade 40 ",,,,,,,,
" Rebar, ASTM A615, Grade 75 ",,,,,,,,
 Redwood ,,,,,,,,
" Render, Beige, Smooth ",,,,,,,,
" Render, Tan, Textured ",,,,,,,,
 Rock Wool ,,,,,,,,
 Roofing Felt ,,,,,,,,
" Roofing, Metal ",,,,,,,,
" Roofing, Standing Seam ",,,,,,,,
" Rubber, Black ",,,,,,,,
" Rubber, Natural ",,,,,,,,
 Rubble ,,,,,,,,
 Semi-rigid insulation ,,,,,,,,
" Siding, Clapboard ",,,,,,,,
" Slab, Screed ",,,,,,,,
" Softwood, Finish ",,,,,,,,
 Solid Surface Countertop ,,,,,,,,
 Spruce ,,,,,,,,
" Stainless Steel, Brushed ",,,,,,,,
 Steel AISI 1015 ,,,,,,,,
 Steel ASTM A242 ,,,,,,,,
" Steel ASTM A500, Grade B, Rectangular and Square ",,,,,,,,
" Steel ASTM A500, Grade C, Rectangular and Square ",,,,,,,,
 Steel ASTM A53 ,,,,,,,,
 Steel ASTM A913 ,,,,,,,,
 Steel Purlins ,,,,,,,,
" Steel, 43-265 ",,,,,,,,
" Steel, 43-355 ",,,,,,,,
" Steel, 50-325 ",,,,,,,,
" Steel, 50-355 ",,,,,,,,
" Steel, 55-415 ",,,,,,,,
" Steel, 55-450 ",,,,,,,,
" Steel, Galvanized ",,,,,,,,
" Steel, Paint Finish, Blue ",,,,,,,,
" Steel, Paint Finish, Dark Gray, Matte ",,,,,,,,
" Steel, Paint Finish, Ivory, Matte ",,,,,,,,
" Steel, Polished ",,,,,,,,
" Steel, S 275 ",,,,,,,,
" Steel, S 460 ",,,,,,,,
" Stone, Natural Soldier ",,,,,,,,
" Structure, Precast Concrete Beams ",,,,,,,,
" Structure, Timber Joist/Rafter Layer ",,,,,,,,
" Structure, Wood Joist/Rafter Layer ",,,,,,,,
" Structure, Wood Truss Joist/Rafter Layer ",,,,,,,,
 Terrazzo ,,,,,,,,
" Tile, Porcelain, 4in ",,,,,,,,
" Tile, Quarry ",,,,,,,,
" Tile, Structural ",,,,,,,,
 Tiles 25 x 25 ,,,,,,,,
" Timber, C24 ",,,,,,,,
 Travertine ,,,,,,,,
 Ultralam X LVL ,,,,,,,,
 Vapour Retarder ,,,,,,,,
 Vinyl Composition Tile ,,,,,,,,
" Wall Texture, Orange Peel ",,,,,,,,
" Wall Texture, Stucco, Coarse ",,,,,,,,
" Wall Texture, Stucco, Stipple ",,,,,,,,
 Water ,,,,,,,,
 Wood Flooring ,,,,,,,,
 Wood Shake ,,,,,,,,
 Zinc ,,,,,,,,
Plasterboard (Cox),Plasterboard - 10 mm,m²,5.8,,http://doi.org/10.26188/5da556516b6e3,,,
