,Name,AB Comments,1st_Most_Similar_Material,2nd_Most_Similar_Material,1st_Similarity_Score,2nd_Similarity_Score,1 C,2 C
117,Metal-Steel-350MPa,,Steel bar,Steel pipe,0.846854312,0.846012814,,
118,Metal-Steel-390MPa,,"Steel pipe - 88.9 mm outer dia., 4 mm thick",Steel bar,0.840213863,0.838990672,,
119,Metal-Steel-450MPa,,"Steel pipe - 165.1 mm outer dia., 4.9 mm thick",Steel bar,0.842867546,0.841727454,,
120,Metal-Steel-Galvanised,,Hot rolled galvanised structural steel,Steel sheet corrugated - pre-painted,0.880433742,0.880271263,,
121,Metal-Steel-Mill Finish,,Cold rolled steel,Steel sheet corrugated - pre-painted,0.858075797,0.855829647,,
122,Metal-Steel-Stainless,,Stainless steel sheet,Stainless steel sheet products,0.896958002,0.889186951,,
123,Metal-Steel-Stainless-Polished,,Stainless steel sheet,Stainless steel extruded,0.879766882,0.872075667,,
124,Paint Matte White (Cox),,Water-based paint,Solvent-based paint,0.791166229,0.787406567,,
125,Plasterboard (Cox),,Plasterboard - 13 mm,Plasterboard - 10 mm,0.856302714,0.855354747,,
126,Plasterboard Acoustic Rated (Cox),,Plasterboard - 10 mm,Plasterboard - 13 mm,0.829543408,0.828630383,,
127,Plasterboard Fire Rated (Cox),,Plasterboard - 13 mm,Fibre cement weatherboard,0.830521879,0.830179018,,
128,Plastic,,Polycarbonate,Polyvinyl chloride (PVC) film,0.875167021,0.867265929,,
129,Plastic-Black,,Polycarbonate,Nylon 66,0.857957196,0.851619166,,
130,Plastic-Polypropylene-Green,,Polypropylene (PP) sheet,Polycarbonate,0.880249121,0.854318097,,
131,Plastic-Rubber-Black,,Synthetic rubber,Acrylonitrile butadiene styrene (ABS),0.853487332,0.844111743,,
132,Plastic-Transparent-Black,,Polycarbonate,PMMA sheet - 3 mm,0.856573329,0.847444002,,
133,Porcelain-Sorrento Blue-Caroma,,Sanitary ceramic,Ceramic tile,0.818688725,0.817872025,,
134,Porcelain-White-Caroma,,Ceramic tile,Sanitary ceramic,0.810743123,0.810304937,,
135,Roofing - Asphalt,,Asphalt,Polycarbonate roofing sheet - 6 mm,0.87831591,0.832572365,,
136,Roofing - EPDM Membrane,,Polycarbonate roofing sheet - 2 mm,Polycarbonate roofing sheet - 1 mm,0.8366736,0.836673558,,
137,Roofing - Felt,,Polycarbonate roofing sheet - 6 mm,Polycarbonate roofing sheet - 2 mm,0.83354062,0.832664703,,
138,Roofing - Metal,,Steel sheet corrugated - pre-painted,Steel sheet corrugated,0.859048097,0.856538122,,
139,Site - Hardcore,,Hardwood,Toughened glass,0.797705495,0.782030237,,
140,Site - Water,,Water,Water-based paint,0.845254665,0.805743656,,
141,Stainless Steel,,Stainless steel sheet,Stainless steel wire,0.899691798,0.89181508,,
142,Steel,,Steel bar,Steel pipe,0.855400546,0.853401838,,
143,Structure - Precast Concrete Beams,,Concrete 32 MPa,Concrete 40 MPa,0.826480102,0.825196607,,
144,Structure - Timber Joist/Rafter Layer,,Hardwood kiln-dried - structural,OSB sheet,0.831790017,0.828500422,,
145,Tiles 100 x 100 (Cox),,Clay roof tile,Ceramic tile,0.80424918,0.798720813,,
146,Wood-Oak-White-Semi Gloss,,Softwood kiln-dried,Hardwood kiln-dried - dressed,0.818318995,0.818315647,,
147,Wood-Western Red Cedar-Gloss,,Softwood,Hardwood,0.824895912,0.824436251,,
