,Name,1st_Most_Similar_Material,2nd_Most_Similar_Material,1st_Similarity_Score,2nd_Similarity_Score
112,TMBR1,"Tufted carpet, nylon - prestige","Tufted carpet, nylon - quality",0.7473374365264849,0.7471240604507612
113,Render Material 255-255-255,Aluminium extruded powdercoated,Water-based paint - per m²,0.7675935166462352,0.7641157228144322
114,Glass Clear White (Cox),Flat glass,Toughened glass,0.7823342220797023,0.7760990267842641
115,Aluminium Satin (Cox),Aluminium extruded powdercoated,Aluminium angle extruded,0.8071413738434122,0.8005882602938754
116,System-Zones,Double glazing - flat glass,Structural insulated panel (SIP),0.7502038513302274,0.7380912202812776
117,Analytical Spaces,"Tufted carpet, wool - prestige","Woven carpet, nylon - average",0.7380455746043808,0.7361289005932444
118,Analytical Surface - Exterior Walls,Solvent-based paint - per m²,Water-based paint - per m²,0.80069438063158,0.7992945005980805
119,Analytical Surface - Roofs,Clay roof tile,Concrete roof tile,0.807356197495551,0.8017632211487542
120,Analytical Surface - Slabs on Grade,Concrete 32 MPa,Concrete 25 MPa,0.8016321813944322,0.7949527861626368
121,Analytical Surface - Interior Walls,Ceramic tile,Structural insulated panel (SIP),0.7909607146295549,0.7829375772359406
122,Analytical Surface - Interior Floors,Ceramic tile,"Woven carpet, nylon - average",0.8031590026968811,0.7895594338908123
123,Analytical Surface - Ceilings,Ceramic tile,Plasterboard - 10 mm,0.7837254044873624,0.7809399310792753
124,Analytical Surface - Air Surfaces,Solvent-based paint - per m²,"Woven carpet, nylon - average",0.7588490959269265,0.7583787425834264
125,Analytical Surface - Underground Walls,Concrete 32 MPa,Concrete 40 MPa,0.7834536878121667,0.7754356499923121
126,Analytical Surface - Operable Windows,Double glazing - flat glass,Flat glass,0.7937116643323956,0.7902819004166746
127,Analytical Surface - Operable Skylights,Flat glass,Polycarbonate,0.8069673376500839,0.793169151860037
128,Analytical Surface - Sliding Doors,Flat glass,Laminated glass,0.7934925228068507,0.7931126441114424
129,Analytical Surface - Air Openings,Double glazing - flat glass,Flat glass,0.7692166065214631,0.7649767232404884
130,Analytical Surface - Shades,Aluminium extruded powdercoated,Flat glass,0.7750395509828802,0.7737821677572537
131,Fibre Cement (Cox),Fibre cement sheet,Fibre cement weatherboard,0.8410869251107607,0.8385537805708867
132,Glass (Cox),Flat glass,Toughened glass,0.8033208183789248,0.7970514922914045
133,Furring Channel (Cox),Fibre cement sheet,Fibre cement weatherboard,0.7702040704906847,0.767550794609291
134,Generic Wall (Cox),Particleboard outdoor,Fibre cement weatherboard,0.7701581291466717,0.7682786556981684
135,Concrete (Cox),Concrete block,Concrete roof tile,0.7728964849001709,0.7698457686803515
136,Blockwork (Cox),Concrete block,Clay brick,0.7959245612501671,0.7636386352527448
137,Concrete Precast (Cox),Concrete block,Concrete 20 Mpa,0.7997206971742137,0.7945096068467279
138,Metal Stud (Cox),Steel bar,Cold rolled stainless steel,0.7785675611712495,0.7762712536678055
139,Plasterboard (Cox),Plasterboard - 10 mm,Gypsum plaster,0.8523046751746046,0.8184175583288554
140,Fence Chainwire (Cox),Copper wire,Polyvinyl chloride (PVC) film,0.7764133880773288,0.7548668479962984
141,Fence Timber (Cox),Particleboard outdoor,Cross laminated timber (CLT),0.8062638175817249,0.799702894721936
142,Tiles 100 x 100 (Cox),Cork slab,Ceramic tile,0.7908636557975821,0.7857440654850671
143,Paint Matte White (Cox),Water-based paint - per m²,Solvent-based paint - per m²,0.781393759681172,0.7750559018595434
144,Plasterboard Fire Rated (Cox),Plasterboard - 10 mm,Fibre cement weatherboard,0.8194246603213158,0.8062312741665516
145,Plasterboard Acoustic Rated (Cox),Plasterboard - 10 mm,Fibre cement weatherboard,0.8186815628859254,0.7893706022123128
146,Electrical Load Zones,Copper wire,Polyvinyl chloride (PVC) film,0.7650626689939704,0.7421744456442019
147,Asphalt Paint Matte White (Cox),Asphalt,Solvent-based paint - per m²,0.8089317707084306,0.7955695818915536
